line,item_code,plant,orig_plant
,652,115,115
,652,115,115
,3344,115,115
,3344,115,115
,3345,115,115
,3345,115,115
,652,117,117
,652,117,117
,3232,117,117
,3232,117,117
,3232,117,117
,3233,117,117
,3233,117,117
,3344,117,117
,3344,117,117
,3345,117,117
,3345,117,117
,2700,117,117
,2700,117,117
,2802,117,117
,2802,117,117
,2802,117,117
,658,46,46
,666,46,46
,666,46,46
,723,46,46
,725,46,46
,725,46,46
,727,46,46
,729,46,46
,751,46,46
,753,46,46
,755,46,46
,760,46,46
,760,46,46
,698,46,46
,698,46,46
,698,46,46
,699,46,46
,700,46,46
,700,46,46
,701,46,46
,703,46,46
,705,46,46
,711,46,46
,712,46,46
,718,46,46
,810,46,46
,814,46,46
,815,46,46
,816,46,46
,819,46,46
,820,46,46
,821,46,46
,839,46,46
,840,46,46
,733,46,46
,734,46,46
,735,46,46
,1111,46,46
,1112,46,46
,1113,46,46
,1126,46,46
,1022,46,46
,1023,46,46
,898,46,46
,900,46,46
,913,46,46
,914,46,46
,915,46,46
,916,46,46
,917,46,46
,919,46,46
,920,46,46
,921,46,46
,922,46,46
,923,46,46
,871,46,46
,767,46,46
,768,46,46
,539,46,46
,764,46,46
,765,46,46
,672,46,46
,673,46,46
,673,46,46
,673,46,46
,676,46,46
,603,46,46
,606,46,46
,1037,46,46
,1217,46,46
,678,46,46
,679,46,46
,686,46,46
,691,46,46
,691,46,46
,1024,46,46
,1171,46,46
,1234,46,46
,1235,46,46
,1236,46,46
,1237,46,46
,1600,46,46
,1603,46,46
,1604,46,46
,1613,46,46
,1618,46,46
,1638,46,46
,1645,46,46
,1590,46,46
,1591,46,46
,2160,46,46
,2160,46,46
,2170,46,46
,3241,46,46
,3241,46,46
,3349,46,46
,3349,46,46
,3385,46,46
,3385,46,46
,3386,46,46
,3386,46,46
,3398,46,46
,3398,46,46
,3400,46,46
,3400,46,46
,3401,46,46
,3401,46,46
,3401,46,46
,3271,46,46
,3271,46,46
,3272,46,46
,3273,46,46
,3273,46,46
,3286,46,46
,3286,46,46
,3291,46,46
,3298,46,46
,3298,46,46
,3299,46,46
,3299,46,46
,3311,46,46
,3311,46,46
,3312,46,46
,3312,46,46
,3331,46,46
,3331,46,46
,3344,46,46
,3344,46,46
,3345,46,46
,3345,46,46
,806,46,46
,992,46,46
,993,46,46
,996,46,46
,997,46,46
,998,46,46
,999,46,46
,1000,46,46
,1002,46,46
,924,46,46
,925,46,46
,926,46,46
,927,46,46
,929,46,46
,930,46,46
,931,46,46
,940,46,46
,948,46,46
,949,46,46
,1104,46,46
,1106,46,46
,1107,46,46
,1108,46,46
,1109,46,46
,1110,46,46
,2827,46,46
,2827,46,46
,2837,46,46
,2837,46,46
,2840,46,46
,2840,46,46
,2841,46,46
,2841,46,46
,2853,46,46
,2853,46,46
,2857,46,46
,2857,46,46
,1863,46,46
,1864,46,46
,1865,46,46
,1866,46,46
,5555,46,46
,5556,46,46
,5557,46,46
,5557,46,46
,5558,46,46
,5558,46,46
,5560,46,46
,5560,46,46
,5561,46,46
,5561,46,46
,5562,46,46
,5562,46,46
,5563,46,46
,5563,46,46
,3491,46,46
,3491,46,46
,3492,46,46
,3492,46,46
,3493,46,46
,3493,46,46
,6912,46,46
,6913,46,46
,6913,46,46
,6913,46,46
,6923,46,46
,6923,46,46
,6932,46,46
,3496,46,46
,3496,46,46
,1739,46,46
,6991,46,46
,6991,46,46
,6992,46,46
,6998,46,46
,7000,46,46
,7004,46,46
,7004,46,46
,7005,46,46
,7008,46,46
,7009,46,46
,7033,46,46
,7034,46,46
,7034,46,46
,7035,46,46
,7036,46,46
,7037,46,46
,7037,46,46
,7038,46,46
,7038,46,46
,7041,46,46
,7041,46,46
,3518,46,46
,3518,46,46
,7042,46,46
,7043,46,46
,7052,46,46
,5593,46,46
,4143,46,46
,2932,46,46
,2932,46,46
,2933,46,46
,2933,46,46
,2934,46,46
,2934,46,46
,2934,46,46
,4426,46,46
,4426,46,46
,4427,46,46
,4427,46,46
,4428,46,46
,4428,46,46
,4429,46,46
,4429,46,46
,4430,46,46
,4430,46,46
,2718,46,46
,2718,46,46
,2721,46,46
,2987,46,46
,2987,46,46
,2988,46,46
,2988,46,46
,6816,46,46
,6818,46,46
,6822,46,46
,6826,46,46
,6827,46,46
,2723,46,46
,2723,46,46
,6831,46,46
,6832,46,46
,6833,46,46
,6833,46,46
,6835,46,46
,6835,46,46
,6836,46,46
,6840,46,46
,6841,46,46
,6856,46,46
,6858,46,46
,4463,46,46
,4463,46,46
,4500,46,46
,4500,46,46
,6865,46,46
,6867,46,46
,6867,46,46
,6871,46,46
,6871,46,46
,6872,46,46
,6872,46,46
,6879,46,46
,6885,46,46
,6886,46,46
,6896,46,46
,6896,46,46
,6897,46,46
,6898,46,46
,6898,46,46
,6899,46,46
,6899,46,46
,4501,46,46
,4501,46,46
,4502,46,46
,4502,46,46
,4503,46,46
,4503,46,46
,4503,46,46
,4506,46,46
,4506,46,46
,4506,46,46
,4508,46,46
,4508,46,46
,4508,46,46
,2750,46,46
,2750,46,46
,2751,46,46
,2751,46,46
,3017,46,46
,3017,46,46
,3017,46,46
,3018,46,46
,3018,46,46
,3018,46,46
,6907,46,46
,5594,46,46
,5594,46,46
,6699,46,46
,6700,46,46
,6701,46,46
,6703,46,46
,6704,46,46
,6708,46,46
,6708,46,46
,6710,46,46
,6710,46,46
,6710,46,46
,4339,46,46
,4340,46,46
,4343,46,46
,4343,46,46
,3041,46,46
,3041,46,46
,3041,46,46
,6714,46,46
,6717,46,46
,6723,46,46
,6724,46,46
,6724,46,46
,6725,46,46
,6726,46,46
,6727,46,46
,6731,46,46
,6732,46,46
,6732,46,46
,6733,46,46
,6736,46,46
,6736,46,46
,6738,46,46
,6740,46,46
,6742,46,46
,6743,46,46
,6744,46,46
,6748,46,46
,6749,46,46
,6750,46,46
,6751,46,46
,6751,46,46
,6752,46,46
,6753,46,46
,6755,46,46
,6759,46,46
,4380,46,46
,4380,46,46
,3048,46,46
,3049,46,46
,3049,46,46
,3049,46,46
,3050,46,46
,3050,46,46
,3051,46,46
,3051,46,46
,3052,46,46
,3052,46,46
,3053,46,46
,3053,46,46
,3054,46,46
,3054,46,46
,3058,46,46
,3058,46,46
,3058,46,46
,3059,46,46
,3059,46,46
,3059,46,46
,6763,46,46
,6766,46,46
,6767,46,46
,6768,46,46
,6769,46,46
,6774,46,46
,6775,46,46
,6782,46,46
,6783,46,46
,6783,46,46
,6785,46,46
,6797,46,46
,2128,46,46
,2131,46,46
,2131,46,46
,2132,46,46
,6810,46,46
,6811,46,46
,6812,46,46
,6812,46,46
,6813,46,46
,2138,46,46
,2140,46,46
,5301,46,46
,5302,46,46
,5302,46,46
,2820,46,46
,2820,46,46
,2823,46,46
,2823,46,46
,5313,46,46
,5313,46,46
,5314,46,46
,5314,46,46
,6585,46,46
,6585,46,46
,5472,46,46
,5475,46,46
,5475,46,46
,5476,46,46
,5476,46,46
,5476,46,46
,1047,46,46
,1048,46,46
,2688,46,46
,2688,46,46
,2688,46,46
,2694,46,46
,2694,46,46
,2695,46,46
,2695,46,46
,2701,46,46
,2701,46,46
,4054,46,46
,4057,46,46
,2712,46,46
,2712,46,46
,2717,46,46
,2717,46,46
,3534,46,46
,3534,46,46
,3542,46,46
,3542,46,46
,3544,46,46
,3544,46,46
,4282,46,46
,3736,46,46
,3545,46,46
,3545,46,46
,3545,46,46
,3559,46,46
,3559,46,46
,3560,46,46
,3560,46,46
,3744,46,46
,3744,46,46
,3757,46,46
,3757,46,46
,1398,46,46
,1400,46,46
,4090,46,46
,4177,46,46
,4177,46,46
,4177,46,46
,4178,46,46
,4178,46,46
,3789,46,46
,3789,46,46
,3317,46,46
,3317,46,46
,4181,46,46
,4181,46,46
,3318,46,46
,3318,46,46
,3319,46,46
,3321,46,46
,3321,46,46
,3837,46,46
,3837,46,46
,3838,46,46
,3838,46,46
,3839,46,46
,3839,46,46
,3839,46,46
,3584,46,46
,3584,46,46
,3589,46,46
,3589,46,46
,3590,46,46
,3590,46,46
,3422,46,46
,3422,46,46
,1546,46,46
,1552,46,46
,3840,46,46
,3840,46,46
,3841,46,46
,3841,46,46
,3841,46,46
,3842,46,46
,3842,46,46
,3842,46,46
,3843,46,46
,3843,46,46
,3844,46,46
,3844,46,46
,3844,46,46
,3845,46,46
,3845,46,46
,3846,46,46
,3846,46,46
,3847,46,46
,3847,46,46
,3882,46,46
,3882,46,46
,4213,46,46
,4213,46,46
,4213,46,46
,4221,46,46
,4221,46,46
,4579,46,46
,4579,46,46
,4582,46,46
,3074,46,46
,3074,46,46
,3075,46,46
,3075,46,46
,3075,46,46
,3430,46,46
,3430,46,46
,3437,46,46
,3437,46,46
,3441,46,46
,3441,46,46
,3441,46,46
,3083,46,46
,3083,46,46
,3083,46,46
,3088,46,46
,3088,46,46
,3093,46,46
,3093,46,46
,3094,46,46
,3098,46,46
,3098,46,46
,3100,46,46
,3100,46,46
,3104,46,46
,3104,46,46
,3459,46,46
,3459,46,46
,3460,46,46
,3460,46,46
,3622,46,46
,3622,46,46
,3630,46,46
,3630,46,46
,4615,46,46
,3479,46,46
,3479,46,46
,3480,46,46
,3480,46,46
,3884,46,46
,3884,46,46
,3895,46,46
,3895,46,46
,2246,46,46
,3487,46,46
,3487,46,46
,3646,46,46
,3646,46,46
,3795,46,46
,3795,46,46
,3796,46,46
,4404,46,46
,4404,46,46
,3997,46,46
,3997,46,46
,3662,46,46
,3662,46,46
,3663,46,46
,3666,46,46
,3666,46,46
,3667,46,46
,3667,46,46
,3668,46,46
,3668,46,46
,3669,46,46
,3669,46,46
,4626,46,46
,2682,46,46
,2682,46,46
,2682,46,46
,2682,46,46
,7173,46,46
,7174,46,46
,7175,46,46
,7176,46,46
,7185,46,46
,7186,46,46
,4738,46,46
,4743,46,46
,4744,46,46
,4745,46,46
,4746,46,46
,7192,46,46
,7194,46,46
,7200,46,46
,7201,46,46
,7202,46,46
,7205,46,46
,7211,46,46
,7215,46,46
,7216,46,46
,7217,46,46
,7218,46,46
,7219,46,46
,7239,46,46
,4801,46,46
,4801,46,46
,6037,46,46
,6037,46,46
,6038,46,46
,6038,46,46
,5842,46,46
,5843,46,46
,5843,46,46
,5844,46,46
,5845,46,46
,5847,46,46
,5848,46,46
,5848,46,46
,4825,46,46
,6106,46,46
,6106,46,46
,6107,46,46
,6107,46,46
,6108,46,46
,6108,46,46
,6109,46,46
,6109,46,46
,6110,46,46
,6110,46,46
,5950,46,46
,5950,46,46
,5951,46,46
,4877,46,46
,4877,46,46
,4879,46,46
,4879,46,46
,7248,46,46
,7253,46,46
,7254,46,46
,7255,46,46
,7256,46,46
,7263,46,46
,7264,46,46
,7280,46,46
,7281,46,46
,7285,46,46
,7286,46,46
,7288,46,46
,7289,46,46
,7292,46,46
,7293,46,46
,7295,46,46
,7296,46,46
,7297,46,46
,7302,46,46
,5218,46,46
,5218,46,46
,7313,46,46
,7315,46,46
,7316,46,46
,7317,46,46
,7320,46,46
,7340,46,46
,7348,46,46
,7349,46,46
,7364,46,46
,7365,46,46
,5711,46,46
,5711,46,46
,5720,46,46
,5721,46,46
,5721,46,46
,4923,46,46
,4951,46,46
,4951,46,46
,4952,46,46
,4952,46,46
,4964,46,46
,4964,46,46
,4964,46,46
,5998,46,46
,5998,46,46
,4993,46,46
,4993,46,46
,4994,46,46
,4994,46,46
,4995,46,46
,4995,46,46
,4996,46,46
,4996,46,46
,4997,46,46
,4997,46,46
,4997,46,46
,4998,46,46
,4998,46,46
,5000,46,46
,5000,46,46
,5006,46,46
,5619,46,46
,5619,46,46
,5620,46,46
,5620,46,46
,5157,46,46
,5158,46,46
,5158,46,46
,5648,46,46
,5648,46,46
,5649,46,46
,5649,46,46
,5760,46,46
,5760,46,46
,5189,46,46
,5189,46,46
,6491,46,46
,6491,46,46
,6492,46,46
,6492,46,46
,5047,46,46
,5047,46,46
,5048,46,46
,5048,46,46
,5049,46,46
,5049,46,46
,4733,46,46
,4733,46,46
,4734,46,46
,4734,46,46
,4735,46,46
,4735,46,46
,7065,46,46
,7065,46,46
,7066,46,46
,2785,46,46
,2785,46,46
,2785,46,46
,2801,46,46
,2801,46,46
,2801,46,46
,3066,46,46
,3066,46,46
,3071,46,46
,3071,46,46
,2080,46,46
,7072,46,46
,7073,46,46
,7074,46,46
,7075,46,46
,7075,46,46
,7076,46,46
,7076,46,46
,7077,46,46
,7078,46,46
,7078,46,46
,7083,46,46
,7084,46,46
,7085,46,46
,7088,46,46
,7088,46,46
,7089,46,46
,7092,46,46
,2088,46,46
,2089,46,46
,2091,46,46
,2092,46,46
,2096,46,46
,2097,46,46
,2098,46,46
,2099,46,46
,7104,46,46
,7105,46,46
,7106,46,46
,7114,46,46
,7115,46,46
,7116,46,46
,7135,46,46
,7136,46,46
,7137,46,46
,7138,46,46
,7148,46,46
,6586,46,46
,6586,46,46
,6587,46,46
,6588,46,46
,6589,46,46
,6591,46,46
,6592,46,46
,6598,46,46
,6598,46,46
,1929,46,46
,6608,46,46
,6609,46,46
,6611,46,46
,6616,46,46
,6623,46,46
,6624,46,46
,6624,46,46
,6626,46,46
,5452,46,46
,2871,46,46
,2871,46,46
,2872,46,46
,2872,46,46
,2873,46,46
,2873,46,46
,2879,46,46
,2879,46,46
,2879,46,46
,5453,46,46
,5454,46,46
,5455,46,46
,5455,46,46
,5468,46,46
,5468,46,46
,5595,46,46
,5595,46,46
,5596,46,46
,5602,46,46
,5603,46,46
,5604,46,46
,5605,46,46
,5606,46,46
,5609,46,46
,6627,46,46
,6628,46,46
,6632,46,46
,6632,46,46
,6633,46,46
,6633,46,46
,6634,46,46
,6634,46,46
,6634,46,46
,6635,46,46
,6636,46,46
,6637,46,46
,6641,46,46
,6642,46,46
,6645,46,46
,6646,46,46
,6649,46,46
,6652,46,46
,6652,46,46
,6653,46,46
,6654,46,46
,6657,46,46
,6658,46,46
,6664,46,46
,6671,46,46
,6675,46,46
,6675,46,46
,6676,46,46
,6676,46,46
,6677,46,46
,6678,46,46
,6679,46,46
,4787,46,46
,4787,46,46
,4788,46,46
,4788,46,46
,4788,46,46
,2949,46,46
,2949,46,46
,2949,46,46
,2967,46,46
,2967,46,46
,6680,46,46
,6681,46,46
,6682,46,46
,6683,46,46
,6685,46,46
,6686,46,46
,6687,46,46
,6688,46,46
,5413,46,46
,5413,46,46
,2971,46,46
,2971,46,46
,2977,46,46
,2977,46,46
,2977,46,46
,2915,46,46
,2915,46,46
,2916,46,46
,2916,46,46
,2917,46,46
,2917,46,46
,2917,46,46
,2918,46,46
,2918,46,46
,6539,46,46
,6539,46,46
,6549,46,46
,6555,46,46
,6556,46,46
,6556,46,46
,6557,46,46
,6564,46,46
,6565,46,46
,2928,46,46
,2928,46,46
,6567,46,46
,6570,46,46
,6571,46,46
,6572,46,46
,6572,46,46
,6581,46,46
,6581,46,46
,6582,46,46
,12683,46,46
,12684,46,46
,12688,46,46
,12689,46,46
,12691,46,46
,12691,46,46
,12691,46,46
,658,48,48
,723,48,48
,753,48,48
,757,48,48
,761,48,48
,851,48,48
,856,48,48
,960,48,48
,711,48,48
,712,48,48
,718,48,48
,810,48,48
,814,48,48
,815,48,48
,816,48,48
,819,48,48
,820,48,48
,821,48,48
,827,48,48
,827,48,48
,836,48,48
,837,48,48
,838,48,48
,839,48,48
,840,48,48
,733,48,48
,734,48,48
,735,48,48
,739,48,48
,740,48,48
,742,48,48
,743,48,48
,745,48,48
,746,48,48
,747,48,48
,748,48,48
,749,48,48
,772,48,48
,773,48,48
,782,48,48
,782,48,48
,1111,48,48
,1112,48,48
,1022,48,48
,1023,48,48
,900,48,48
,909,48,48
,910,48,48
,914,48,48
,915,48,48
,916,48,48
,917,48,48
,919,48,48
,920,48,48
,921,48,48
,922,48,48
,923,48,48
,767,48,48
,764,48,48
,1026,48,48
,1026,48,48
,1024,48,48
,1185,48,48
,1412,48,48
,1428,48,48
,1234,48,48
,1235,48,48
,1236,48,48
,1237,48,48
,1248,48,48
,1270,48,48
,1271,48,48
,1596,48,48
,1598,48,48
,1599,48,48
,1600,48,48
,1605,48,48
,1614,48,48
,1624,48,48
,1626,48,48
,1627,48,48
,1630,48,48
,1631,48,48
,1632,48,48
,1633,48,48
,1634,48,48
,1635,48,48
,1636,48,48
,1639,48,48
,1640,48,48
,1643,48,48
,1646,48,48
,1646,48,48
,1647,48,48
,1647,48,48
,1648,48,48
,1650,48,48
,1650,48,48
,1651,48,48
,1651,48,48
,1652,48,48
,1652,48,48
,1653,48,48
,1653,48,48
,1286,48,48
,1294,48,48
,1295,48,48
,1296,48,48
,1297,48,48
,1298,48,48
,1299,48,48
,1300,48,48
,1301,48,48
,1577,48,48
,1581,48,48
,1582,48,48
,1583,48,48
,1587,48,48
,1588,48,48
,1589,48,48
,2157,48,48
,2166,48,48
,2168,48,48
,2169,48,48
,2172,48,48
,2174,48,48
,3241,48,48
,3241,48,48
,1655,48,48
,1657,48,48
,1659,48,48
,1660,48,48
,1661,48,48
,1662,48,48
,1663,48,48
,1664,48,48
,1665,48,48
,1666,48,48
,1669,48,48
,1670,48,48
,1671,48,48
,1672,48,48
,1673,48,48
,3349,48,48
,3349,48,48
,3385,48,48
,3385,48,48
,3386,48,48
,3386,48,48
,3387,48,48
,3387,48,48
,3389,48,48
,3389,48,48
,3257,48,48
,3257,48,48
,3271,48,48
,3271,48,48
,3272,48,48
,3273,48,48
,3273,48,48
,3286,48,48
,3286,48,48
,3298,48,48
,3298,48,48
,3299,48,48
,3299,48,48
,3311,48,48
,3311,48,48
,788,48,48
,788,48,48
,789,48,48
,789,48,48
,791,48,48
,793,48,48
,997,48,48
,998,48,48
,999,48,48
,1000,48,48
,1002,48,48
,925,48,48
,926,48,48
,927,48,48
,929,48,48
,930,48,48
,931,48,48
,948,48,48
,949,48,48
,1106,48,48
,1107,48,48
,1108,48,48
,1109,48,48
,1110,48,48
,1718,48,48
,1725,48,48
,1728,48,48
,1731,48,48
,1732,48,48
,1738,48,48
,1858,48,48
,1867,48,48
,1868,48,48
,1869,48,48
,1871,48,48
,1871,48,48
,1872,48,48
,1873,48,48
,1874,48,48
,6934,48,48
,6946,48,48
,6947,48,48
,6948,48,48
,6951,48,48
,6952,48,48
,6953,48,48
,6954,48,48
,6955,48,48
,1740,48,48
,1741,48,48
,1744,48,48
,1744,48,48
,1745,48,48
,1746,48,48
,1749,48,48
,1751,48,48
,6994,48,48
,6995,48,48
,6997,48,48
,7001,48,48
,7007,48,48
,7010,48,48
,7011,48,48
,7012,48,48
,7014,48,48
,7015,48,48
,7017,48,48
,7018,48,48
,7022,48,48
,7025,48,48
,7039,48,48
,7040,48,48
,1756,48,48
,1758,48,48
,1759,48,48
,1763,48,48
,1763,48,48
,1764,48,48
,1764,48,48
,1765,48,48
,1766,48,48
,1768,48,48
,1769,48,48
,1770,48,48
,1774,48,48
,1976,48,48
,7046,48,48
,1777,48,48
,1780,48,48
,1781,48,48
,1784,48,48
,1785,48,48
,4143,48,48
,1800,48,48
,1800,48,48
,1990,48,48
,1992,48,48
,1993,48,48
,1996,48,48
,1997,48,48
,1998,48,48
,1999,48,48
,2001,48,48
,2003,48,48
,2004,48,48
,2005,48,48
,4426,48,48
,4426,48,48
,4427,48,48
,4427,48,48
,4428,48,48
,4428,48,48
,4429,48,48
,4429,48,48
,4430,48,48
,4430,48,48
,6698,48,48
,6698,48,48
,2021,48,48
,2024,48,48
,6829,48,48
,6837,48,48
,6838,48,48
,6839,48,48
,6842,48,48
,6844,48,48
,6845,48,48
,6846,48,48
,6848,48,48
,6849,48,48
,6851,48,48
,6852,48,48
,6862,48,48
,4463,48,48
,4463,48,48
,4500,48,48
,4500,48,48
,2025,48,48
,2026,48,48
,2027,48,48
,2028,48,48
,2029,48,48
,2030,48,48
,2031,48,48
,2032,48,48
,2033,48,48
,2034,48,48
,2035,48,48
,2037,48,48
,2042,48,48
,2047,48,48
,6863,48,48
,6877,48,48
,6878,48,48
,4501,48,48
,4501,48,48
,6705,48,48
,6705,48,48
,6706,48,48
,6706,48,48
,4337,48,48
,4337,48,48
,3034,48,48
,3034,48,48
,3034,48,48
,6720,48,48
,6720,48,48
,6721,48,48
,6721,48,48
,6722,48,48
,6722,48,48
,6745,48,48
,6745,48,48
,6746,48,48
,6746,48,48
,6756,48,48
,6756,48,48
,4380,48,48
,4380,48,48
,6788,48,48
,6789,48,48
,6790,48,48
,6791,48,48
,6792,48,48
,6793,48,48
,6794,48,48
,6795,48,48
,6796,48,48
,1675,48,48
,1675,48,48
,1676,48,48
,1676,48,48
,1685,48,48
,1686,48,48
,1687,48,48
,1838,48,48
,1839,48,48
,2124,48,48
,2136,48,48
,6803,48,48
,6804,48,48
,6805,48,48
,6806,48,48
,6807,48,48
,6808,48,48
,1690,48,48
,1690,48,48
,1691,48,48
,1691,48,48
,1692,48,48
,1692,48,48
,1693,48,48
,1693,48,48
,1698,48,48
,1698,48,48
,1700,48,48
,1702,48,48
,1703,48,48
,1704,48,48
,1705,48,48
,2139,48,48
,2142,48,48
,2143,48,48
,2144,48,48
,2145,48,48
,2147,48,48
,5301,48,48
,5302,48,48
,5302,48,48
,1707,48,48
,1708,48,48
,1709,48,48
,1709,48,48
,1711,48,48
,1712,48,48
,1712,48,48
,1715,48,48
,1716,48,48
,1717,48,48
,5313,48,48
,5313,48,48
,5314,48,48
,5314,48,48
,5472,48,48
,5473,48,48
,1047,48,48
,1048,48,48
,1054,48,48
,1055,48,48
,4054,48,48
,4055,48,48
,4055,48,48
,4056,48,48
,4057,48,48
,1070,48,48
,1071,48,48
,1072,48,48
,1073,48,48
,1074,48,48
,1075,48,48
,1076,48,48
,3534,48,48
,3534,48,48
,4282,48,48
,3744,48,48
,3744,48,48
,3745,48,48
,3745,48,48
,3746,48,48
,3747,48,48
,3748,48,48
,3748,48,48
,3749,48,48
,3749,48,48
,3750,48,48
,3750,48,48
,3751,48,48
,3752,48,48
,1386,48,48
,1387,48,48
,1388,48,48
,1392,48,48
,1400,48,48
,3778,48,48
,3778,48,48
,3779,48,48
,3780,48,48
,3789,48,48
,3789,48,48
,3321,48,48
,3321,48,48
,1555,48,48
,1556,48,48
,1557,48,48
,1558,48,48
,1561,48,48
,1562,48,48
,1563,48,48
,1564,48,48
,1567,48,48
,3867,48,48
,4218,48,48
,4218,48,48
,4579,48,48
,4579,48,48
,4580,48,48
,4580,48,48
,4582,48,48
,3430,48,48
,3430,48,48
,3630,48,48
,3630,48,48
,4615,48,48
,4619,48,48
,4619,48,48
,4625,48,48
,3122,48,48
,3122,48,48
,3472,48,48
,3472,48,48
,3479,48,48
,3479,48,48
,3480,48,48
,3480,48,48
,3884,48,48
,3884,48,48
,3888,48,48
,3888,48,48
,2243,48,48
,3642,48,48
,3642,48,48
,3643,48,48
,3643,48,48
,3644,48,48
,3644,48,48
,3645,48,48
,3645,48,48
,3646,48,48
,3646,48,48
,3648,48,48
,3648,48,48
,3792,48,48
,3792,48,48
,3795,48,48
,3795,48,48
,3796,48,48
,4404,48,48
,4404,48,48
,3997,48,48
,3997,48,48
,7157,48,48
,7158,48,48
,7159,48,48
,7167,48,48
,7168,48,48
,7169,48,48
,7170,48,48
,7171,48,48
,7172,48,48
,4738,48,48
,4744,48,48
,4745,48,48
,4746,48,48
,7227,48,48
,7228,48,48
,7229,48,48
,7230,48,48
,5843,48,48
,5843,48,48
,5845,48,48
,5848,48,48
,5848,48,48
,4825,48,48
,4879,48,48
,4879,48,48
,7283,48,48
,7284,48,48
,7303,48,48
,7304,48,48
,7305,48,48
,4923,48,48
,5998,48,48
,5998,48,48
,5155,48,48
,5155,48,48
,5157,48,48
,5158,48,48
,5158,48,48
,2053,48,48
,2054,48,48
,2063,48,48
,2066,48,48
,2069,48,48
,7062,48,48
,7067,48,48
,1855,48,48
,1856,48,48
,2079,48,48
,2081,48,48
,2082,48,48
,7071,48,48
,7080,48,48
,7081,48,48
,2095,48,48
,7118,48,48
,7119,48,48
,7127,48,48
,7128,48,48
,7129,48,48
,7150,48,48
,1885,48,48
,1886,48,48
,1887,48,48
,1888,48,48
,1897,48,48
,2103,48,48
,2106,48,48
,2114,48,48
,2115,48,48
,2116,48,48
,2117,48,48
,2118,48,48
,2119,48,48
,2120,48,48
,1899,48,48
,1900,48,48
,1901,48,48
,1902,48,48
,1904,48,48
,1906,48,48
,1907,48,48
,1908,48,48
,1909,48,48
,1910,48,48
,1911,48,48
,1912,48,48
,1913,48,48
,1914,48,48
,1916,48,48
,1917,48,48
,1919,48,48
,1920,48,48
,1921,48,48
,1922,48,48
,1924,48,48
,1925,48,48
,1926,48,48
,1928,48,48
,5452,48,48
,5453,48,48
,5454,48,48
